id	af	s	gen	h	1000_rep0_dom.hs_segr.txt
1907060	73	-0.00184344	9532	0.457803	1005_rep4_dom.hs_segr.txt
1939086	19	-0.00887648	9692	0.346303	1005_rep4_dom.hs_segr.txt
2000220	1	-0.0537773	9998	0.135543	1005_rep4_dom.hs_segr.txt
1993479	2	-0.00716786	9963	0.368082	1005_rep4_dom.hs_segr.txt
1866419	8	-0.0359503	9328	0.17873	1005_rep4_dom.hs_segr.txt
1992734	10	-0.0929368	9959	0.0885451	1005_rep4_dom.hs_segr.txt
1986748	1	-0.0340045	9929	0.18517	1005_rep4_dom.hs_segr.txt
1976297	22	-0.0683554	9877	0.113179	1005_rep4_dom.hs_segr.txt
1852683	68	-0.00984108	9259	0.335108	1005_rep4_dom.hs_segr.txt
1987171	2	-0.00746529	9931	0.364096	1005_rep4_dom.hs_segr.txt
1999700	1	-0.107567	9995	0.0783904	1005_rep4_dom.hs_segr.txt
1981654	4	-0.0289217	9903	0.204408	1005_rep4_dom.hs_segr.txt
1896441	76	-0.00434582	9479	0.410748	1005_rep4_dom.hs_segr.txt
1998896	1	-0.0112715	9991	0.31978	1005_rep4_dom.hs_segr.txt
1968719	2	-0.169535	9839	0.0527606	1005_rep4_dom.hs_segr.txt
1936067	6	-0.000734341	9677	0.482292	1005_rep4_dom.hs_segr.txt
1994868	4	-0.0276901	9970	0.209687	1005_rep4_dom.hs_segr.txt
1900196	27	-0.00566817	9498	0.389588	1005_rep4_dom.hs_segr.txt
1951217	1	-0.0013734	9752	0.467871	1005_rep4_dom.hs_segr.txt
1998825	1	-0.0110622	9990	0.321935	1005_rep4_dom.hs_segr.txt
1991827	1	-0.0502955	9955	0.142257	1005_rep4_dom.hs_segr.txt
1995428	2	-0.0246073	9973	0.224179	1005_rep4_dom.hs_segr.txt
1983963	1	-0.0470974	9915	0.149037	1005_rep4_dom.hs_segr.txt
2000354	1	-0.0735086	9998	0.106942	1005_rep4_dom.hs_segr.txt
1936360	6	-0.0358039	9679	0.179199	1005_rep4_dom.hs_segr.txt
1982317	4	-0.0233335	9907	0.230768	1005_rep4_dom.hs_segr.txt
1998529	1	-0.0221218	9989	0.237407	1005_rep4_dom.hs_segr.txt
1999212	1	-0.0208078	9992	0.245051	1005_rep4_dom.hs_segr.txt
1967176	6	-0.0177204	9832	0.265109	1005_rep4_dom.hs_segr.txt
1959452	3	-0.0542779	9793	0.13463	1005_rep4_dom.hs_segr.txt
1985353	3	-0.00109014	9922	0.474155	1005_rep4_dom.hs_segr.txt
1980858	2	-0.00772717	9899	0.360657	1005_rep4_dom.hs_segr.txt
1919898	6	-0.104008	9596	0.0806401	1005_rep4_dom.hs_segr.txt
1976879	6	-0.00573915	9879	0.388513	1005_rep4_dom.hs_segr.txt
1979121	6	-0.0430389	9891	0.158632	1005_rep4_dom.hs_segr.txt
1971799	1	-0.108965	9854	0.0775405	1005_rep4_dom.hs_segr.txt
1861320	11	-0.0301804	9302	0.199281	1005_rep4_dom.hs_segr.txt
1964736	1	-0.00469936	9819	0.404869	1005_rep4_dom.hs_segr.txt
1986382	1	-0.115317	9927	0.0739007	1005_rep4_dom.hs_segr.txt
1879000	22	-0.025762	9391	0.218522	1005_rep4_dom.hs_segr.txt
1970565	2	-0.0287724	9848	0.205034	1005_rep4_dom.hs_segr.txt
2000293	2	-0.065658	9998	0.116743	1005_rep4_dom.hs_segr.txt
1963287	1	-0.0771069	9812	0.102979	1005_rep4_dom.hs_segr.txt
1905556	10	-0.00119884	9525	0.471724	1005_rep4_dom.hs_segr.txt
1948253	14	-0.00923767	9737	0.342024	1005_rep4_dom.hs_segr.txt
1973896	2	-0.239559	9865	0.0385268	1005_rep4_dom.hs_segr.txt
1995777	3	-0.141142	9975	0.0620572	1005_rep4_dom.hs_segr.txt
1986904	3	-0.025224	9930	0.221122	1005_rep4_dom.hs_segr.txt
1973428	1	-0.0165692	9863	0.273454	1005_rep4_dom.hs_segr.txt
1885833	19	-0.00147193	9425	0.465724	1005_rep4_dom.hs_segr.txt
1996775	1	-0.111796	9980	0.075875	1005_rep4_dom.hs_segr.txt
1994292	2	-0.045337	9967	0.153053	1005_rep4_dom.hs_segr.txt
1993386	2	-0.0585433	9962	0.127318	1005_rep4_dom.hs_segr.txt
1992086	3	-0.00867049	9956	0.348791	1005_rep4_dom.hs_segr.txt
1985983	1	-0.00572129	9925	0.388783	1005_rep4_dom.hs_segr.txt
1995728	1	-0.150088	9974	0.0587931	1005_rep4_dom.hs_segr.txt
1999595	1	-0.112495	9994	0.0754744	1005_rep4_dom.hs_segr.txt
1995807	1	-0.0463812	9975	0.150645	1005_rep4_dom.hs_segr.txt
1997342	1	-0.18349	9982	0.0491425	1005_rep4_dom.hs_segr.txt
1988992	1	-0.00022325	9940	0.49448	1005_rep4_dom.hs_segr.txt
1976694	8	-0.0170561	9878	0.269861	1005_rep4_dom.hs_segr.txt
1985415	3	-0.0387335	9922	0.170261	1005_rep4_dom.hs_segr.txt
1993100	2	-0.0842588	9961	0.0959152	1005_rep4_dom.hs_segr.txt
1998165	1	-0.0211403	9987	0.243071	1005_rep4_dom.hs_segr.txt
1999754	1	-0.0262776	9995	0.216087	1005_rep4_dom.hs_segr.txt
1979650	13	-0.0138649	9893	0.295291	1005_rep4_dom.hs_segr.txt
1998318	1	-0.032501	9988	0.190472	1005_rep4_dom.hs_segr.txt
